Country,Year,Male,Female
Australia,2000,72.3,54.7
Austria,2000,68.9,49
Belgium,2000,61.5,43.6
Canada,2000,72.3,59.4
Chile,2000,73.3,34.9
Czech Republic,2000,69.8,51.6
Denmark,2000,71.1,60.2
Estonia,2000,68.1,52.1
Finland,2000,70.5,63.3
France,2000,63,49.1
Germany,2000,66.6,49
Greece,2000,62.2,38.7
Hungary,2000,61.1,45.5
Iceland,2000,81.3,71.3
Ireland,2000,71.5,47.8
Israel,2000,60.8,48.2
Italy,2000,62.2,35.8
Japan,2000,76.4,49.3
Korea,2000,74.4,48.8
Luxembourg,2000,66.1,41.4
Mexico,2000,81.8,38.9
Netherlands,2000,90.3,81.7
New Zealand,2000,73.6,57.4
Norway,2000,78,68.9
Poland,2000,64.1,49.7
Portugal,2000,69.8,52.9
Slovak Republic,2000,68.2,52.6
Slovenia,2000,64,51.2
Spain,2000,67.1,41.3
Sweden,2000,74.4,67.5
Switzerland,2000,77.8,57.6
Turkey,2000,73.7,26.6
United Kingdom,2000,71.1,54.9
United States,2000,74.8,59.9
OECD - Average,2000,70.7,51.6
Australia,2001,71.9,55.1
Austria,2001,68.4,49.5
Belgium,2001,60.5,41.9
Canada,2001,72.3,59.7
Chile,2001,72.5,34
Czech Republic,2001,69.4,51.3
Denmark,2001,70.9,59.7
Estonia,2001,67.3,52.2
Finland,2001,70.7,63.6
France,2001,62.7,48.9
Germany,2001,66.3,49.3
Greece,2001,60.9,37.6
Hungary,2001,60.9,45.4
Iceland,2001,81.5,71.1
Ireland,2001,71.7,48.1
Israel,2001,60.7,48.4
Italy,2001,62,36.4
Japan,2001,75.7,49.2
Korea,2001,74.3,49.3
Luxembourg,2001,65.7,42.4
Mexico,2001,81.1,38
Netherlands,2001,90.1,81.5
New Zealand,2001,73.8,58.3
Norway,2001,77.7,69.2
Poland,2001,63.8,49.5
Portugal,2001,70.2,53.6
Slovak Republic,2001,68.9,53
Slovenia,2001,64.6,50.9
Spain,2001,66.5,40.3
Sweden,2001,74.2,68.2
Switzerland,2001,77.4,58.9
Turkey,2001,72.9,27.1
United Kingdom,2001,70.4,54.9
United States,2001,74.4,59.8
OECD - Average,2001,70.4,51.7
Australia,2002,71.8,55.2
Austria,2002,68.5,50.5
Belgium,2002,60.8,43.2
Canada,2002,73,60.9
Chile,2002,71.8,33.8
Czech Republic,2002,69.4,51
Denmark,2002,71.1,60.1
Estonia,2002,66.2,51.5
Finland,2002,70.2,64
France,2002,62.9,49.1
Germany,2002,65.5,49.4
Greece,2002,64.4,40.2
Hungary,2002,60.8,45.8
Iceland,2002,80.4,70.5
Ireland,2002,71,49
Israel,2002,60.2,48.4
Italy,2002,62,36.8
Japan,2002,74.7,48.5
Korea,2002,75,49.8
Luxembourg,2002,66.5,43.5
Mexico,2002,80.7,38.7
Netherlands,2002,89.8,81.2
New Zealand,2002,74.6,59
Norway,2002,77.4,69.6
Poland,2002,62.9,48.6
Portugal,2002,70.5,54.2
Slovak Republic,2002,68.3,52.6
Slovenia,2002,64.3,51
Spain,2002,66.9,41.8
Sweden,2002,74.1,68.2
Switzerland,2002,76.7,59.3
Turkey,2002,71.6,27.9
United Kingdom,2002,70.3,55.4
United States,2002,74.1,59.6
OECD - Average,2002,70.3,52
Australia,2003,71.5,55.9
Austria,2003,68.5,51.1
Belgium,2003,60.5,43.6
Canada,2003,73.4,61.9
Chile,2003,71.5,35.1
Czech Republic,2003,68.7,50.8
Denmark,2003,71.4,59.8
Estonia,2003,66.6,52.1
Finland,2003,70.1,63.4
France,2003,63.1,50.5
Germany,2003,64.8,49.5
Greece,2003,64.8,40.9
Hungary,2003,61.4,46.9
Iceland,2003,80.6,71.7
Ireland,2003,70.8,49.3
Israel,2003,60.1,49.1
Italy,2003,62.3,37.1
Japan,2003,74.1,48.4
Korea,2003,74.7,49
Luxembourg,2003,65.1,43.7
Mexico,2003,79.9,38.1
Netherlands,2003,89.6,80.9
New Zealand,2003,73.8,59.4
Norway,2003,76.6,69
Poland,2003,62.2,48
Portugal,2003,70,54.7
Slovak Republic,2003,68.3,52.9
Slovenia,2003,63.5,50.1
Spain,2003,67.4,43.3
Sweden,2003,74,68.1
Switzerland,2003,76.8,59.5
Turkey,2003,70.4,26.6
United Kingdom,2003,70.6,55.3
United States,2003,73.5,59.5
OECD - Average,2003,70,52.2
Australia,2004,71.5,55.7
Austria,2004,67,50.8
Belgium,2004,61.1,44.5
Canada,2004,73.2,61.9
Chile,2004,70.7,36.3
Czech Republic,2004,68.4,50.5
Denmark,2004,71.6,60.7
Estonia,2004,65.9,52.2
Finland,2004,69.6,63.3
France,2004,62.9,50.7
Germany,2004,64.8,49.8
Greece,2004,64.8,42.1
Hungary,2004,61.2,47
Iceland,2004,79.7,69.8
Ireland,2004,71.5,49.8
Israel,2004,60.6,49.6
Italy,2004,61.3,38.3
Japan,2004,73.4,48.2
Korea,2004,75,49.9
Luxembourg,2004,64.9,45.4
Mexico,2004,80.6,40.4
Netherlands,2004,89.3,80.7
New Zealand,2004,74.5,59.9
Norway,2004,76.4,68.8
Poland,2004,62.3,47.8
Portugal,2004,69.7,54.8
Slovak Republic,2004,68.3,52.5
Slovenia,2004,66,52.5
Spain,2004,68.1,45.2
Sweden,2004,73.5,67.9
Switzerland,2004,76,59.1
Turkey,2004,70.3,23.3
United Kingdom,2004,70.1,55.7
United States,2004,73.3,59.2
OECD - Average,2004,69.9,52.5
Australia,2005,72.1,57
Austria,2005,67.5,51.8
Belgium,2005,61.4,45.7
Canada,2005,72.8,61.6
Chile,2005,70.4,37.2
Czech Republic,2005,68.7,50.6
Denmark,2005,71.1,60.4
Estonia,2005,64.7,52.8
Finland,2005,69.5,64.2
France,2005,62.6,50.7
Germany,2005,66.3,51.1
Greece,2005,64.8,42.2
Hungary,2005,61.7,47.8
Iceland,2005,80.5,71
Ireland,2005,72.4,51.9
Israel,2005,60.7,50
Italy,2005,61,37.9
Japan,2005,73.3,48.4
Korea,2005,74.6,50.1
Luxembourg,2005,65.1,46.4
Mexico,2005,79.8,40.6
Netherlands,2005,89,80.5
New Zealand,2005,75,60.9
Norway,2005,76.2,68.7
Poland,2005,62.8,47.7
Portugal,2005,69.4,55.6
Slovak Republic,2005,68.3,51.3
Slovenia,2005,66,52.8
Spain,2005,68.8,46.4
Sweden,2005,75.2,68.8
Switzerland,2005,75.1,59.3
Turkey,2005,70.6,23.3
United Kingdom,2005,70.2,55.9
United States,2005,73.3,59.3
OECD - Average,2005,70,52.9
Australia,2006,72.3,57.6
Austria,2006,68.1,52.8
Belgium,2006,60.9,45.8
Canada,2006,72.3,61.8
Chile,2006,71.4,38.3
Czech Republic,2006,68.6,50.5
Denmark,2006,71.1,60.9
Estonia,2006,67.1,54.7
Finland,2006,70.2,64.6
France,2006,62.4,50.8
Germany,2006,66.4,52
Greece,2006,64.8,42.5
Hungary,2006,62.4,48.2
Iceland,2006,82.2,71.5
Ireland,2006,73.4,53.1
Israel,2006,61.1,50.4
Italy,2006,61,38.1
Japan,2006,73.2,48.5
Korea,2006,74.1,50.3
Luxembourg,2006,60.4,49.4
Mexico,2006,80.7,41.7
Netherlands,2006,88.7,80.2
New Zealand,2006,75.6,61.4
Norway,2006,75.6,68.4
Poland,2006,62.1,46.6
Portugal,2006,69.7,55.8
Slovak Republic,2006,68.1,50.7
Slovenia,2006,65.7,53.2
Spain,2006,69.1,48
Sweden,2006,75.1,69
Switzerland,2006,75.4,59.8
Turkey,2006,69.9,23.6
United Kingdom,2006,70.6,56.6
United States,2006,73.5,59.4
OECD - Average,2006,70.1,53.4
Australia,2007,72.6,58.2
Austria,2007,69.1,53.5
Belgium,2007,61.1,46.5
Canada,2007,72.5,62.5
Chile,2007,71.4,39.1
Czech Republic,2007,68.3,49.8
Denmark,2007,70.9,60.7
Estonia,2007,68,54
Finland,2007,70.3,65.1
France,2007,62.2,51.1
Germany,2007,66.4,52.4
Greece,2007,64.8,42.5
Hungary,2007,62.5,48
Iceland,2007,82.1,71.7
Ireland,2007,73.6,54.6
Israel,2007,61.8,51.1
Italy,2007,60.7,38
Japan,2007,73.1,48.4
Korea,2007,74,50.2
Luxembourg,2007,61.3,50.4
Mexico,2007,80.2,42.4
Netherlands,2007,88.3,80
New Zealand,2007,75.6,61.8
Norway,2007,76,69.5
Poland,2007,61.9,46.3
Portugal,2007,69.5,56.3
Slovak Republic,2007,67.7,50.5
Slovenia,2007,66.5,53.4
Spain,2007,69.3,48.9
Sweden,2007,75.3,69.4
Switzerland,2007,75.8,59.9
Turkey,2007,69.8,23.6
United Kingdom,2007,70.5,56.2
United States,2007,73.2,59.3
OECD - Average,2007,70.2,53.7
Australia,2008,72.7,58.6
Austria,2008,68.7,54.1
Belgium,2008,60.8,46.9
Canada,2008,72.8,62.7
Chile,2008,71.8,40.9
Czech Republic,2008,68.2,49.3
Denmark,2008,71.2,61
Estonia,2008,68.6,54.8
Finland,2008,71,65.2
France,2008,62.2,51.3
Germany,2008,66.4,52.5
Greece,2008,64.9,42.6
Hungary,2008,62,47.8
Iceland,2008,81.7,70.9
Ireland,2008,73.2,54.4
Israel,2008,62,51.3
Italy,2008,60.6,38.7
Japan,2008,72.8,48.4
Korea,2008,73.5,50
Luxembourg,2008,64.1,48.1
Mexico,2008,80.2,43
Netherlands,2008,87.9,79.8
New Zealand,2008,75.2,62.1
Norway,2008,77.1,70.7
Poland,2008,62.7,46.6
Portugal,2008,69.4,56.2
Slovak Republic,2008,68.3,51.1
Slovenia,2008,65.7,53.6
Spain,2008,69.5,50.5
Sweden,2008,75.4,69.2
Switzerland,2008,75.5,61.3
Turkey,2008,70.1,24.5
United Kingdom,2008,70.7,56.5
United States,2008,73,59.5
OECD - Average,2008,70.3,53.9
Australia,2009,72.3,58.8
Austria,2009,68.2,54.8
Belgium,2009,60.4,47
Canada,2009,71.9,62.5
Chile,2009,71,41.3
Czech Republic,2009,68.3,49.5
Denmark,2009,70.2,60.6
Estonia,2009,67.8,55
Finland,2009,69.4,64.7
France,2009,62.3,51.7
Germany,2009,66.3,52.9
Greece,2009,64.5,43.4
Hungary,2009,61.8,48
Iceland,2009,84.7,77.1
Ireland,2009,71.3,54
Israel,2009,61.7,52.3
Italy,2009,59.9,38.3
Japan,2009,72,48.6
Korea,2009,73.1,49.2
Luxembourg,2009,66.6,49.9
Mexico,2009,78.6,42.2
Netherlands,2009,87.7,79.9
New Zealand,2009,74.6,62.2
Norway,2009,75.6,69.8
Poland,2009,63.4,47.3
Portugal,2009,68.3,56
Slovak Republic,2009,68.1,50.3
Slovenia,2009,65.7,53.5
Spain,2009,68.6,51.6
Sweden,2009,73.5,67.6
Switzerland,2009,75.2,61.6
Turkey,2009,70.6,26
United Kingdom,2009,70.2,56.5
United States,2009,72,59.2
OECD - Average,2009,69.9,54.2
Australia,2010,72.5,58.7
Austria,2010,67.9,54.6
Belgium,2010,60.8,47.7
Canada,2010,71.7,62.4
Chile,2010,72.1,45.3
Czech Republic,2010,68,49.3
Denmark,2010,69.1,59.8
Estonia,2010,67,55.3
Finland,2010,69.4,63.7
France,2010,62.1,51.8
Germany,2010,66.2,53.2
Greece,2010,64.2,44.1
Hungary,2010,62.1,49.2
Iceland,2010,84.4,77.6
Ireland,2010,69.4,53.5
Israel,2010,62.2,52.7
Italy,2010,59.4,38.2
Japan,2010,71.6,49.8
Korea,2010,73,49.5
Luxembourg,2010,65.8,49.8
Mexico,2010,79.4,43.2
Netherlands,2010,87.6,79.9
New Zealand,2010,74.4,62.1
Norway,2010,75,68.7
Poland,2010,64.1,48.2
Portugal,2010,67.9,56.3
Slovak Republic,2010,68.5,51.8
Slovenia,2010,65.6,53.1
Spain,2010,68.1,52.3
Sweden,2010,73.9,67.3
Switzerland,2010,75.2,60.8
Turkey,2010,70.8,27.6
United Kingdom,2010,69.6,56.6
United States,2010,71.2,58.6
OECD - Average,2010,69.7,54.5
Australia,2011,72.3,59
Austria,2011,68,54.8
Belgium,2011,59.7,47
Canada,2011,71.5,62.3
Chile,2011,72.7,47.4
Czech Republic,2011,67.6,49.5
Denmark,2011,68.4,59.6
Estonia,2011,68.2,56.1
Finland,2011,69.7,63.6
France,2011,61.8,51.7
Germany,2011,66.6,54.1
Greece,2011,62.9,43.9
Hungary,2011,62.7,49.4
Iceland,2011,83.7,77
Ireland,2011,68.4,53.3
Israel,2011,62.3,52.6
Italy,2011,59.1,38.5
Japan,2011,71.1,48.3
Korea,2011,73.1,49.7
Luxembourg,2011,65,50.3
Mexico,2011,78.4,42.7
Netherlands,2011,87.4,79.9
New Zealand,2011,74.6,62.5
Norway,2011,74.1,68.7
Poland,2011,64.5,48.4
Portugal,2011,68,55.2
Slovak Republic,2011,68.3,50.4
Slovenia,2011,64.1,52.3
Spain,2011,67.4,52.9
Sweden,2011,73.9,68
Switzerland,2011,75.5,60.8
Turkey,2011,71.7,28.8
United Kingdom,2011,69.7,56.7
United States,2011,70.5,58.1
OECD - Average,2011,69.5,54.5
Australia,2012,71.9,58.8
Austria,2012,67.7,54.6
Belgium,2012,59.4,46.9
Canada,2012,71.2,61.6
Chile,2012,74.6,49
Czech Republic,2012,67.8,50.1
Denmark,2012,67.5,59.1
Estonia,2012,68.7,56
Finland,2012,64.3,56
France,2012,61.8,50.9
Germany,2012,66.4,53.5
Greece,2012,62.6,44.2
Hungary,2012,59.9,44.7
Iceland,2012,77.3,70.6
Ireland,2012,67.9,52.7
Israel,2012,69.5,58.1
Italy,2012,59.4,52.7
Japan,2012,70.4,48.1
Korea,2012,72,49.9
Luxembourg,2012,64.9,49.9
Mexico,2012,80,45
Netherlands,2012,87.3,79.9
New Zealand,2012,73.9,62.1
Norway,2012,69.5,61.5
Poland,2012,64.8,48.9
Portugal,2012,67.2,55.4
Slovak Republic,2012,68.7,51
Slovenia,2012,63.5,52.3
Spain,2012,66.5,52.6
Sweden,2012,68.1,60.2
Switzerland,2012,75.3,61.2
Turkey,2012,70.8,29.4
United Kingdom,2012,68.8,55.7
United States,2012,69.3,56.8
OECD - Average,2012,68.8,54.1
